id,prompt,prediction,gold,cosine,bertscore,cosine_mean,bert_mean
0,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: kai-rep=teba se langsung=i gayam=at kajien \textbf{eba} kuru luk=ta \textbf{eba} se paramuan se di=ra kuar=ta metko

    Gloss:
    kai-rep=teba → firewood-get={

    Final Answer:
    ","While gathering firewood, I saw a man who was being chased by a wild dog.","eba} IAM directly=PLNK chestnut=OBJ pick then bring come=NFIN then IAM cut IAM CAUS=go cook=NFIN DIST.LOC
\glt `[She] went to get firewood and pick chestnuts, then coming back, then [she] cut [them], having cooked [them] there...",0.16174954175949097,0.8173266053199768,0.5832802873849868,0.8919742965698242
1,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: ma terima \textbf{terus} ma se ecien=i kewe=ko

    Gloss:
    ma → 3SG
terima → receive
\textbf{terus} → then
ma → 3SG
se → IAM
ecien=i → return=PLNK
kewe=ko → house=LOC

    Final Answer:
    ",She will receive them then and return to her house.,He receives [it] and then he returns home.,0.4963734745979309,0.9270093441009521,0.5832802873849868,0.8919742965698242
2,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: uda=bon=a melelu \textbf{ye} neba=bon=a melelu \textbf{ye}

    Gloss:
    uda=bon=a → rice_sieve=COM=FOC
melelu → sit
\textbf{ye} → or
neba=bon=a → what=COM=FOC
melelu → sit
\textbf{ye} → or

    Final Answer:
    ","We sit with the rice sieve, or we sit with what.",Sitting with a rice sieve or sitting with what?,0.8733301758766174,0.9443356990814209,0.5832802873849868,0.8919742965698242
3,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: som-kon ∅-te kon∼kon \textbf{atau} som-kon ∅-te naun-kon

    Gloss:
    som-kon → person-one
∅-te → give-DISTR
kon∼kon → one∼DISTR
\textbf{atau} → or
som-kon → person-one
∅-te → give-DISTR
naun-kon → fruit-one

    Final Answer:
    ",People give one another or people give fruit.,"Gave each person one, or gave each person one fruit.",0.8305953145027161,0.8871050477027893,0.5832802873849868,0.8919742965698242
4,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: ma pi=at=a ruat=kin \textbf{ye} \textbf{atau} pi=at tamandi=kin

    Gloss:
    ma → 3SG
pi=at=a → 1PL.INCL=OBJ=FOC
ruat=kin → kill=VOL
\textbf{ye} → or
\textbf{atau} → or
pi=at → 1PL.INCL=OBJ
tamandi=kin → how=VOL

    Final Answer:
    ",We would rather kill them or how them.,"Does he want to kill us, or what does he want to do with us?",0.4341079592704773,0.8766925930976868,0.5832802873849868,0.8919742965698242
5,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: kon wa me ror kanggirar-un=ko \textbf{ba} tanbes-pis=ko

    Gloss:
    kon → one
wa → PROX
me → TOP
ror → tree
kanggirar-un=ko → face-3POSS=LOC
\textbf{ba} → but
tanbes-pis=ko → right-side=LOC

    Final Answer:
    ","On one side of the tree, but on the right side of my face.","This one he's facing the tree, but on the right side.",0.6448653340339661,0.9291075468063354,0.5832802873849868,0.8919742965698242
6,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: ma mu=at komet∼komet \textbf{ba} mu nokidak

    Gloss:
    ma → 3SG
mu=at → 3PL=OBJ
komet∼komet → look∼PROG
\textbf{ba} → but
mu → 3PL
nokidak → be_silent

    Final Answer:
    ","They are looking at them, but they are being silent.",He watches them but they are silent.,0.737467885017395,0.9463448524475098,0.5832802873849868,0.8919742965698242
7,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: ma koi bo ror kodaet=ko ma koi pareir=taet \textbf{ba} \textbf{tapi} goras wa me \textbf{sedangkan} sor-un ma lapas=nin

    Gloss:
    ma → 3SG
koi → then
bo → go
ror → tree
kodaet=ko → one_more=LOC
ma → 3SG
koi → then
pareir=taet → follow=again
\textbf{ba} → but
\textbf{tapi} → but
goras → crow
wa → PROX
me → TOP
\textbf{sedangkan} → but
sor-un → fish-3POSS
ma → 3SG
lapas=nin → drop.MLY=NEG

    Final Answer:
    ","Then, he went to the tree again. But there was a crow nearby. But he didn't drop his fish.","Then he goes to another tree, he follows again, but the crow doesn't drop its fish.",0.8761731386184692,0.9431614279747009,0.5832802873849868,0.8919742965698242
8,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: kalamang-mang ewa=\textbf{ta} \textbf{eba} ma tangkap=et

    Gloss:
    kalamang-mang → Kalamang-language
ewa=\textbf{ta} → speak=NFIN
\textbf{eba} → so_that
ma → 3SG
tangkap=et → record=IRR

    Final Answer:
    ",She will record it so that he speaks in the Kalamang language.,Speak Kalamang so that she can record.,0.788261890411377,0.9215166568756104,0.5832802873849868,0.8919742965698242
9,"You are a professional linguist.

    You will translate a sentence using step-by-step reasoning.

    Follow these steps internally:
    1. Identify each morpheme and its meaning using the glossary.
    2. Understand how the meanings combine into a full sentence.
    3. Produce a fluent natural English translation.

    IMPORTANT:
    Do NOT show your reasoning.
    Return ONLY the final translation.

    Language: Kalamang
    Sentence: Mel se dalang=i bara mungkin yar-un naunin=ten me=ba=\textbf{tauna} ma se jie kuru sara

    Gloss:
    Mel → Mel
se → IAM
dalang=i → jump=PLNK
bara → descend
mungkin → maybe
yar-un → stone-3POSS
naunin=ten → recognise-TEN
me=ba=\textbf{tauna} → DIST={\glba}=so
ma → 3SG
se → IAM
jie → get
kuru → bring
sara → ascend

    Final Answer:
    ","Maybe Mel will jump down and recognise the stone of his so distant friend, then he will get it and bring it up.","Mel jumped down, maybe he recognised his stone, so he got [a lobster] and brought [it] up.",0.6742196083068848,0.9091220498085022,0.5832802873849868,0.8919742965698242
